Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0771,1.48,0.053,1.06,0.0759,1.44,0.0489,0.97,0.0549,1.04,0.0777,1.51
0.0768,1.47,0.0526,1.05,0.0758,1.44,0.0481,0.95,0.0541,1.02,0.0775,1.5
0.0764,1.46,0.0521,1.04,0.0755,1.44,0.0474,0.93,0.0532,1.01,0.0772,1.5
0.0759,1.47,0.0517,1.03,0.0753,1.44,0.0468,0.94,0.0525,0.99,0.0771,1.5
0.0754,1.45,0.0511,1.03,0.0751,1.43,0.0461,0.92,0.0517,0.97,0.0768,1.48
0.0749,1.43,0.0506,1.01,0.0748,1.42,0.0454,0.9,0.0509,0.96,0.0765,1.48
0.0746,1.43,0.05,1,0.0746,1.42,0.0447,0.89,0.0501,0.95,0.0763,1.48
0.0741,1.41,0.0495,0.99,0.0742,1.4,0.044,0.89,0.0494,0.94,0.076,1.46
0.0736,1.41,0.0489,0.97,0.074,1.41,0.0434,0.86,0.0486,0.92,0.0757,1.47
0.073,1.41,0.0483,0.96,0.0737,1.41,0.0427,0.85,0.0479,0.9,0.0754,1.47
0.0725,1.4,0.0477,0.96,0.0735,1.4,0.042,0.84,0.047,0.89,0.0751,1.46
0.072,1.39,0.0469,0.95,0.0731,1.4,0.0414,0.82,0.0464,0.88,0.0748,1.45
0.0715,1.38,0.0463,0.93,0.0729,1.39,0.0406,0.8,0.0456,0.85,0.0745,1.45
0.0709,1.37,0.0457,0.92,0.0725,1.38,0.04,0.8,0.045,0.85,0.0741,1.43
0.0705,1.37,0.045,0.9,0.0723,1.39,0.0393,0.78,0.0443,0.83,0.0738,1.43
0.0698,1.36,0.0444,0.89,0.0719,1.38,0.0387,0.77,0.0435,0.82,0.0734,1.43
0.0694,1.34,0.0437,0.88,0.0717,1.37,0.038,0.76,0.0428,0.8,0.0731,1.42
0.0688,1.33,0.043,0.86,0.0713,1.37,0.0372,0.75,0.0421,0.79,0.0726,1.41
0.0681,1.32,0.0423,0.85,0.0709,1.36,0.0366,0.74,0.0415,0.78,0.0723,1.42
0.0675,1.31,0.0416,0.84,0.0706,1.35,0.0359,0.73,0.0407,0.77,0.0719,1.4
0.0669,1.3,0.041,0.82,0.0702,1.34,0.0352,0.71,0.0401,0.75,0.0715,1.39
0.0663,1.29,0.0403,0.81,0.0698,1.33,0.0346,0.69,0.0394,0.74,0.0711,1.39
0.0657,1.27,0.0397,0.81,0.0695,1.33,0.0338,0.68,0.0387,0.74,0.0707,1.37
0.065,1.27,0.0389,0.78,0.0691,1.31,0.0332,0.67,0.0381,0.72,0.0703,1.36
0.0644,1.26,0.0383,0.77,0.0686,1.32,0.0325,0.66,0.0373,0.71,0.0698,1.36
0.0638,1.24,0.0376,0.77,0.0681,1.3,0.0319,0.65,0.0367,0.7,0.0695,1.35
0.0631,1.24,0.037,0.75,0.0678,1.29,0.0313,0.64,0.0361,0.68,0.069,1.34
0.0623,1.23,0.0363,0.74,0.0673,1.29,0.0307,0.62,0.0354,0.67,0.0686,1.34
0.0617,1.21,0.0357,0.72,0.0668,1.28,0.03,0.61,0.0348,0.66,0.0681,1.32
0.061,1.19,0.0349,0.71,0.0663,1.26,0.0293,0.61,0.0341,0.64,0.0678,1.31
0.0604,1.19,0.0343,0.69,0.0657,1.26,0.0287,0.6,0.0335,0.64,0.0673,1.31
0.0597,1.17,0.0336,0.69,0.0651,1.25,0.0281,0.58,0.0329,0.62,0.0668,1.3
0.0589,1.15,0.033,0.68,0.0645,1.23,0.0275,0.58,0.0323,0.61,0.0663,1.29
0.0582,1.16,0.0323,0.66,0.064,1.24,0.027,0.57,0.0316,0.6,0.0658,1.29
0.0575,1.13,0.0316,0.66,0.0634,1.22,0.0264,0.55,0.031,0.59,0.0655,1.28
0.0568,1.11,0.0309,0.64,0.0627,1.2,0.026,0.55,0.0304,0.58,0.065,1.26
0.056,1.11,0.0303,0.62,0.0621,1.19,0.0255,0.54,0.0298,0.57,0.0645,1.27
0.0552,1.1,0.0297,0.62,0.0615,1.19,0.025,0.52,0.0292,0.57,0.064,1.26
0.0544,1.08,0.0291,0.61,0.0608,1.16,0.0245,0.52,0.0286,0.55,0.0635,1.24
0.0536,1.07,0.0285,0.59,0.06,1.16,0.024,0.51,0.0281,0.54,0.0631,1.24
0.0529,1.05,0.0279,0.59,0.0593,1.15,0.0235,0.49,0.0275,0.53,0.0626,1.23
0.052,1.03,0.0273,0.57,0.0587,1.13,0.023,0.49,0.027,0.53,0.0621,1.22
0.0512,1.02,0.0267,0.56,0.058,1.12,0.0226,0.48,0.0266,0.51,0.0616,1.21
0.0503,1,0.0261,0.56,0.0572,1.11,0.0221,0.46,0.026,0.51,0.0611,1.21
0.0495,0.99,0.0255,0.55,0.0564,1.09,0.0217,0.47,0.0255,0.5,0.0606,1.19
0.0486,0.98,0.0249,0.53,0.0557,1.08,0.0212,0.47,0.025,0.49,0.06,1.18
0.0478,0.95,0.0243,0.53,0.0549,1.07,0.0209,0.45,0.0245,0.48,0.0595,1.17
0.0468,0.94,0.0236,0.51,0.0541,1.05,0.0204,0.45,0.0241,0.46,0.0591,1.16
0.046,0.92,0.023,0.5,0.0534,1.03,0.02,0.44,0.0236,0.45,0.0586,1.16
0.045,0.9,0.0226,0.5,0.0525,1.02,0.0196,0.42,0.0232,0.46,0.0581,1.14
0.044,0.88,0.0219,0.47,0.0518,1.01,0.0193,0.42,0.0228,0.44,0.0575,1.14
0.043,0.86,0.0215,0.46,0.0509,0.99,0.0189,0.42,0.0224,0.43,0.057,1.13
0.0422,0.85,0.0209,0.46,0.0501,0.98,0.0186,0.41,0.0221,0.44,0.0564,1.13
0.0412,0.83,0.0204,0.45,0.0494,0.96,0.0182,0.41,0.0217,0.42,0.0559,1.11
