,mass
1220,2.3224160116136305
1223,3.5039569664880332
1224,97.29712924883972
1227,16.45710692200847
1228,91.6447336814833
1229,13.69965470840555
1232,9.820536111144758
1233,27.265474184818427
1235,17.044711201237746
1236,26.349689290875425
1238,30.21807061396193
1239,23.94864261167577
1240,15.248325886969065
1241,12.492268271962372
1244,16.965709921335918
1245,64.24287222568353
1246,49.07703152333788
1248,11.670082801689967
1249,9.572255755538135
1250,11.817352069775136
1251,34.820288016237015
1252,87.16318877662748
1257,84.2314528581812
1258,13.918108279405455
1259,21.150222561294722
1261,4.7440829820525
1262,13.278573400565273
1263,22.02317662210708
1264,8.191817215266141
1265,3.1062217092313227
1266,85.39943280463346
1268,4.186618951849818
1272,54.784590071022706
1275,26.249369372461175
1277,27.22113557285957
1278,17.7365573369523
1279,23.745847547634487
1281,22.100219375413435
1282,13.307990562759658
1283,25.429832245577153
1285,13.70409888235572
1286,91.31713122960885
1288,18.12262114723816
1290,85.80904021978104
1291,2.93683264470454
1292,59.66352313768857
1294,22.734684755788898
1297,63.89762973663186
1298,13.029081627524613
1300,80.08431941205508
1301,14.414647222835566
1304,11.662682079772306
1307,55.66932595721859
1308,5.865885690694966
1309,10.266591210752477
1312,4.280714245624839
1314,24.463955625617736
1315,18.145247291799947
1316,2.0200717329837894
1318,17.980440856635273
1319,15.66003684918575
1321,14.091593853348197
1328,11.610598210704563
1330,14.682307665176033
1331,8.330005289054446
1335,3.4231065274127794
1337,3.924723611058527
1338,16.86583347600447
1341,37.27407135117252
1343,13.041038623887893
1346,56.8519869335435
1347,9.175749784283303
1348,24.620661559208738
1349,33.66350391645973
1350,15.98819062470799
1353,2.426940751626096
1354,13.65048167897383
1357,5.967593260804572
1358,3.520103497285489
1359,12.105929932542564
1360,17.407086268606353
1361,14.617665851205523
1362,16.913303295852586
1363,9.937666938562591
1364,85.05743816838712
1365,26.424568519044236
1366,18.450774606511605
1369,9.296745538412893
1374,31.15837428607331
1377,88.60350004992262
1380,9.73163977333728
1381,5.574034262985481
1382,9.484226585257801
1385,17.200508951001943
1386,15.092571364593823
1388,34.787290102330196
1390,8.940088987779427
1392,17.66234043499137
1395,28.280530492670962
1396,57.825386005597046
1400,5.403301837809448
1402,57.81616755425433
1403,3.1066124512883695
1404,13.811156399512402
1405,23.421863834244654
1406,74.81927485573219
1408,90.59794078145485
1412,44.655190447003896
1413,11.9171578935462
1415,15.07213427630847
1421,54.10537807315461
1422,52.851717521875266
1424,21.107282578567435
1425,11.2265231117252
1426,19.88575243227422
1429,23.19960897418879
1434,29.646863931818718
1435,53.87300113017651
1438,40.43510633218862
1442,94.00582192811251
1444,13.369015245523205
1447,3.2099396292138884
1455,17.499310447643357
1456,50.86630316587791
1460,13.027937318217425
1461,41.71195159101286
1463,86.01948202546662
1466,7.238425270430041
1468,12.56196337987419
1470,62.70275798275749
1471,12.382670502899607
1472,28.62089068284563
1475,22.253406861662786
1476,8.145614683742416
1481,7.180651663010753
1483,15.555122284700273
1485,16.190595620405702
1486,15.629292694827864
1488,13.628549055299395
1489,19.901796102794336
1490,60.702458440801216
1491,11.834868046446486
1492,27.87060444749466
1498,24.301352568081477
1499,7.969563465826156
1500,39.65755737790034
1502,22.07540321355643
1503,12.55487974274136
1504,13.01895108792915
1505,2.8256497371755227
1507,20.21625134179525
1508,59.859592608181856
1509,68.13075165376864
1510,13.04264166866512
1511,3.172719681833965
1514,4.86015593303909
1515,8.830762524759685
1517,59.867328365125836
1518,45.36354647202863
1520,4.912723308788903
1521,55.020905897200414
1524,30.108967201635313
1525,64.20917226144797
1527,24.45261159087715
1528,24.89885782391435
1530,19.948414672499766
1531,11.142215005379278
1533,11.369689169668405
1536,10.116314767855537
