Run,Event,pt,eta,phi,Q,chiSq,dxy,iso,MET,phiMET
173389,490257976,31.3892,1.32223,2.06435,-1,1.24342,-0.100397,22.6506,12.6003,0.115426
173389,490257818,32.5882,1.55648,-3.05936,-1,0.886125,-0.0195619,14.6564,4.29909,0.635132
173389,490345279,38.6837,-1.32201,0.622972,-1,0.86011,-0.00281556,0,45.9157,-3.07442
173389,490359913,39.8666,1.50469,1.4372,-1,0.673658,-0.0681418,0,37.5118,-1.66209
173389,490376921,31.8208,0.383638,-3.08103,-1,0.713245,-0.0476209,36.3052,24.9373,0.44294
173389,490457989,31.1023,1.27211,2.38124,1,0.771656,-0.0878874,1.73481,64.3521,-0.513276
173389,490794068,36.3848,-2.03925,1.38583,1,0.702728,-0.0635891,0,11.6134,2.84353
173389,490747665,50.7819,0.125513,0.121711,1,0.79959,0.0373132,33.8903,7.91622,2.09194
173389,490935878,26.5943,-2.02957,0.601545,-1,0.75736,-0.00392901,0,26.1936,-0.641252
173389,490986969,37.0858,-0.492611,-0.386258,1,0.413904,0.0646458,13.1445,16.9299,0.720148
173389,491084505,44.0998,0.87697,-2.73744,-1,0.737685,-0.0168367,1.63088,49.9357,0.145763
