Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
149181,417055314,20.7282,-6.22005,17.6425,8.92823,18.7068,0.460791,1.90975,1,88.8383,2.37529,-22.755,-85.8418,22.8787,-2.03275,-1.46679,-1
149181,416600603,80.9259,6.51325,-21.2015,77.8272,22.1794,1.96818,-1.27274,-1,4.69831,2.12694,2.84706,3.07319,3.55382,0.78244,0.929178,1
149181,417291468,174.929,-43.9584,-6.78906,169.179,44.4796,2.04593,-2.98836,1,78.4214,32.686,4.7321,71.1277,33.0267,1.51031,0.143776,-1
149181,416627101,17.9647,3.01806,-2.00015,17.596,3.62067,2.28458,-0.58527,-1,9.18629,-5.694,-0.456947,7.19427,5.7123,1.05347,-3.06151,1
149181,418245586,14.6472,-12.8154,-5.8709,3.97965,14.0962,0.278699,-2.71201,-1,22.5324,-15.9861,3.39715,15.5118,16.3431,0.844946,2.9322,1
149181,418522802,1.93537,-1.61644,0.934365,0.509657,1.86706,0.269692,2.61748,1,137.291,20.5057,7.77665,135.528,21.9308,2.52092,0.362487,-1
149181,418425195,3.21567,-0.992589,2.18158,-2.14383,2.39677,-0.80475,1.99779,-1,117.546,-11.9064,18.6304,-115.447,22.11,-2.35498,2.13946,-1
149181,417738792,42.5386,1.1511,-23.4755,35.4558,23.5037,1.19948,-1.5218,1,50.2113,0.942947,-20.4133,45.8648,20.4351,1.54789,-1.52464,-1
149181,417923552,68.5124,20.0248,-4.64014,65.3561,20.5554,1.87374,-0.227701,1,2.49459,0.702873,-1.45844,1.89787,1.61897,0.998097,-1.1217,1
149181,417944000,58.1489,3.50517,16.8226,55.5518,17.1839,1.8896,1.36537,-1,12.916,0.383844,-2.69026,-12.6269,2.71751,-2.24065,-1.42907,1
149181,417988000,24.1458,-22.4491,-1.26055,-8.80174,22.4844,-0.382094,-3.0855,1,10.3419,0.420965,2.64603,-9.98884,2.6793,-2.02658,1.41303,-1
149181,418038792,4.77304,-2.56005,1.26614,-3.82425,2.85604,-1.10201,2.68229,-1,35.0847,21.5413,11.2952,25.2849,24.323,0.909064,0.482937,-1
149181,418151652,24.644,2.94744,23.531,6.70306,23.7149,0.279017,1.44619,-1,11.1372,1.47394,-2.86383,-10.6613,3.22087,-1.91219,-1.09548,1
149181,418272020,22.7348,0.736558,-6.29865,-21.8324,6.34157,-1.94987,-1.45439,-1,74.32,4.55263,18.0246,-71.9573,18.5907,-2.06284,1.32339,1
149181,417843137,29.8891,11.447,-26.0623,9.11462,28.4654,0.314967,-1.15695,-1,15.3282,3.03118,-0.404616,15.0201,3.05806,2.29496,-0.1327,1
149181,418123957,4.36454,-1.72007,-3.42003,-2.09618,3.82822,-0.523341,-2.03679,-1,55.4769,9.6079,25.206,48.4772,26.975,1.34904,1.20662,-1
