#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
114	4	2	0.9389730328381951	2457067	81127.27003722006	Feb 14, 2015 10:32:07 UTC	0.9389730328382675	6.254	0.9389730328382095	1.247	0.9389730328382530	4.998	0.9389730328381951	0.0	0.9389730328412232	261.631	-1	-1	0.9389730328410035	242.648	-1	-1	
115	4	2	0.9406464586959931	2457067	81271.8540313338	Feb 14, 2015 10:34:31 UTC	0.9406464586960075	1.247	0.9406464586960219	2.494	0.9406464586959931	0.0	0.9406464586960075	1.247	0.9406464586995132	304.144	-1	-1	-1	-1	0.9406464586993225	287.664	
116	4	2	0.9416384833889907	2457067	81357.5649648088	Feb 14, 2015 10:35:57 UTC	0.9416384833890197	2.504	0.9416384833890197	2.504	0.9416384833889907	0.0	0.9416384833889907	0.0	0.9416384833924676	300.403	-1	-1	0.9416384833923777	292.633	-1	-1	
117	4	4	0.9460946931812795	2457067	81742.58149086255	Feb 14, 2015 10:42:22 UTC	0.9460946931812939	1.247	0.9460946931812939	1.247	0.9460946931813083	2.494	0.9460946931812795	0.0	0.9460946931846984	295.396	0.9460946931845242	280.345	0.9460946931846232	288.902	0.9460946931845509	282.648	
118	3	2	0.9498710330995667	2457067	82068.85725980256	Feb 14, 2015 10:47:48 UTC	0.9498710330995811	1.247	0.9498710330995667	0.0	0.9498710330995955	2.494	-1	-1	-1	-1	0.9498710331028836	286.58	0.9498710331028525	283.895	-1	-1	
119	4	2	0.9550332094302523	2457067	82514.8692947738	Feb 14, 2015 10:55:14 UTC	0.9550332094302811	2.494	0.9550332094302667	1.247	0.9550332094302667	1.247	0.9550332094302523	0.0	0.9550332094337002	297.899	0.9550332094335837	287.837	-1	-1	-1	-1	
120	4	2	0.9574530689062073	2457067	82723.94515349632	Feb 14, 2015 10:58:43 UTC	0.9574530689062073	0.0	0.9574530689062073	0.0	0.9574530689062073	0.0	0.9574530689062219	1.266	-1	-1	0.9574530689094808	282.83	-1	-1	0.9574530689095653	290.13	
121	3	2	0.959264342965698	2457067	82880.4392322363	Feb 14, 2015 11:01:20 UTC	0.9592643429656980	0.0	0.9592643429656980	0.0	0.9592643429656980	0.0	-1	-1	0.9592643429686828	257.89	0.9592643429685521	246.6	-1	-1	-1	-1	
122	4	4	0.9592755859669567	2457067	82881.41062754506	Feb 14, 2015 11:01:21 UTC	0.9592755859669999	3.731	0.9592755859669567	0.0	0.9592755859669999	3.731	0.9592755859669999	3.731	0.9592755859699704	260.384	0.9592755859698542	250.341	0.9592755859700108	263.875	0.9592755859699531	258.887	
123	4	3	0.9609005976859091	2457067	83021.81164006254	Feb 14, 2015 11:03:41 UTC	0.9609005976859382	2.513	0.9609005976859237	1.266	0.9609005976859382	2.513	0.9609005976859091	0.0	0.9609005976894004	301.65	0.9609005976892986	292.854	-1	-1	0.9609005976893109	293.918	
124	4	3	0.9619608963005215	2457067	83113.42144036505	Feb 14, 2015 11:05:13 UTC	0.9619608963005503	2.484	0.9619608963005359	1.247	0.9619608963005503	2.484	0.9619608963005215	0.0	0.9619608963039836	299.127	0.9619608963038240	285.333	-1	-1	0.9619608963038651	288.883	
125	4	2	0.9639317268689241	2457067	83283.70120147505	Feb 14, 2015 11:08:03 UTC	0.9639317268689241	0.0	0.9639317268689241	0.0	0.9639317268689241	0.0	0.9639317268689387	1.257	0.9639317268720392	269.142	-1	-1	-1	-1	0.9639317268717905	247.655	
