"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.082638667E0,-2.348789978E1,-9.055572510E0,-3.695273590E1,4.471229719E1
3.092653667E0,-2.349786377E1,-9.036331177E0,-3.690631104E1,4.467528038E1
3.102668667E0,-2.349023438E1,-9.095962524E0,-3.675716400E1,4.456025977E1
3.112683667E0,-2.341702271E1,-9.070800781E0,-3.682080078E1,4.456913449E1
3.122698667E0,-2.344792175E1,-9.180938721E0,-3.696656799E1,4.472831116E1
3.132713667E0,-2.351942444E1,-9.243667603E0,-3.678248596E1,4.462689761E1
3.142728667E0,-2.357734680E1,-9.140670776E0,-3.669715881E1,4.456595797E1
3.152743667E0,-2.353141785E1,-9.074111938E0,-3.691682434E1,4.470927256E1
3.162758667E0,-2.355455017E1,-9.061019897E0,-3.692183685E1,4.472293541E1
3.172774667E0,-2.356916809E1,-9.086685181E0,-3.688996124E1,4.470953783E1
