Time,Altitude,Velocity
155.9,67755.2685267189,1704.31403642802
156,67878.0422219832,1703.79527810592
156.1,68001.1254258847,1703.25808949164
156.2,68121.6483603162,1702.70580792314
156.3,68240.5897452037,1702.16638734482
156.4,68358.8357266965,1701.64568200604
156.5,68470.9872168579,1701.11490934934
156.6,68576.9504439391,1700.57745312456
156.7,68680.7610100361,1700.07264452721
156.8,68783.4644132104,1699.54956299457
156.9,68895.0893397299,1699.03090873193
157,69011.9388347948,1698.47528343225
157.1,69125.7788417325,1697.91621511298
157.2,69245.6210313375,1697.35948309217
157.3,69367.8447327349,1696.78621935685
157.4,69492.8235902395,1696.17187508517
157.5,69618.6041386374,1695.57967422305
157.6,69737.8255634099,1694.95108387198
157.7,69854.498833671,1694.32565516966
157.8,69974.285562235,1693.69421552412
157.9,70091.1772427671,1693.03707640538
158,70208.4659163291,1692.39350327563
158.1,70325.6358899843,1691.76209855555
158.2,70442.7968985367,1691.09321067774
158.3,70559.7042887462,1690.44839874415
158.4,70674.0191252717,1689.81634256092
158.5,70792.7233431332,1689.14604089133
158.6,70913.0308947379,1688.50111836508
158.7,71030.8038234927,1687.86905360325
158.8,71145.6193521741,1687.19932179031
158.9,71257.6464277086,1686.56250914419
159,71366.9671168649,1685.9349202328
159.1,71478.6979499418,1685.29641497522
159.2,71592.0849838816,1684.69437507772
159.3,71703.068898111,1684.10093992577
159.4,71817.0071291037,1683.50567083785
159.5,71931.3309678753,1682.90336173784
159.6,72047.9069369521,1682.29256809305
159.7,72170.9479465807,1681.65204730672
159.8,72292.3921191497,1681.0099941805
159.9,72408.9806084209,1680.33384707344
160,72526.3431435312,1679.66030126448
160.1,72643.3243560869,1678.94273875545
160.2,72762.5223758883,1678.26909296831
160.3,72879.5488851217,1677.56212705831
160.4,72993.5005396356,1676.8889788719
160.5,73108.1466472182,1676.22416682502
160.6,73221.2530797695,1675.53003468981
160.7,73331.0743659932,1674.85277246336
160.8,73439.4853614546,1674.21915149063
